test_id,requirement_id,capability,feature,test_level,transport,status,expected_evidence,verification_notes
TEST-HLA1516-RULE-001-NATIVE,HLA1516-RULE-001,CAP-FW,FW-FOM,review + integration test,native,planned,Verify HLA1516-RULE-001: Federations shall define a FOM documented using the HLA OMT.,
TEST-HLA1516-RULE-001-GRPC,HLA1516-RULE-001,CAP-FW,FW-FOM,review + integration test,grpc,planned,Verify HLA1516-RULE-001: Federations shall define a FOM documented using the HLA OMT.,
TEST-HLA1516-RULE-001-REST,HLA1516-RULE-001,CAP-FW,FW-FOM,review + integration test,rest,planned,Verify HLA1516-RULE-001: Federations shall define a FOM documented using the HLA OMT.,
TEST-HLA1516-RULE-002-NATIVE,HLA1516-RULE-002,CAP-FW,FW-OBJECT-STATE,review + integration test,native,planned,"Verify HLA1516-RULE-002: Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",
TEST-HLA1516-RULE-002-GRPC,HLA1516-RULE-002,CAP-FW,FW-OBJECT-STATE,review + integration test,grpc,planned,"Verify HLA1516-RULE-002: Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",
TEST-HLA1516-RULE-002-REST,HLA1516-RULE-002,CAP-FW,FW-OBJECT-STATE,review + integration test,rest,planned,"Verify HLA1516-RULE-002: Simulation-associated object instance state shall reside in federates rather than the RTI, except standard MOM-managed data.",
TEST-HLA1516-RULE-003-NATIVE,HLA1516-RULE-003,CAP-FW,FW-DATA-EXCHANGE,review + integration test,native,planned,"Verify HLA1516-RULE-003: During execution, exchange of FOM-defined data among joined federates shall occur through RTI services.",
TEST-HLA1516-RULE-003-GRPC,HLA1516-RULE-003,CAP-FW,FW-DATA-EXCHANGE,review + integration test,grpc,planned,"Verify HLA1516-RULE-003: During execution, exchange of FOM-defined data among joined federates shall occur through RTI services.",
TEST-HLA1516-RULE-003-REST,HLA1516-RULE-003,CAP-FW,FW-DATA-EXCHANGE,review + integration test,rest,planned,"Verify HLA1516-RULE-003: During execution, exchange of FOM-defined data among joined federates shall occur through RTI services.",
TEST-HLA1516-RULE-004-NATIVE,HLA1516-RULE-004,CAP-FW,FW-INTERFACE,review + integration test,native,planned,Verify HLA1516-RULE-004: Joined federates shall interact with the RTI through the standard HLA federate interface.,
TEST-HLA1516-RULE-004-GRPC,HLA1516-RULE-004,CAP-FW,FW-INTERFACE,review + integration test,grpc,planned,Verify HLA1516-RULE-004: Joined federates shall interact with the RTI through the standard HLA federate interface.,
TEST-HLA1516-RULE-004-REST,HLA1516-RULE-004,CAP-FW,FW-INTERFACE,review + integration test,rest,planned,Verify HLA1516-RULE-004: Joined federates shall interact with the RTI through the standard HLA federate interface.,
TEST-HLA1516-RULE-005-NATIVE,HLA1516-RULE-005,CAP-FW,FW-OWNERSHIP,review + integration test,native,planned,Verify HLA1516-RULE-005: An object instance attribute shall be owned by at most one joined federate at a time.,
TEST-HLA1516-RULE-005-GRPC,HLA1516-RULE-005,CAP-FW,FW-OWNERSHIP,review + integration test,grpc,planned,Verify HLA1516-RULE-005: An object instance attribute shall be owned by at most one joined federate at a time.,
TEST-HLA1516-RULE-005-REST,HLA1516-RULE-005,CAP-FW,FW-OWNERSHIP,review + integration test,rest,planned,Verify HLA1516-RULE-005: An object instance attribute shall be owned by at most one joined federate at a time.,
TEST-HLA1516-RULE-006-NATIVE,HLA1516-RULE-006,CAP-FW,FW-SOM,review + integration test,native,planned,Verify HLA1516-RULE-006: Federates shall define a SOM documented using the HLA OMT.,
TEST-HLA1516-RULE-006-GRPC,HLA1516-RULE-006,CAP-FW,FW-SOM,review + integration test,grpc,planned,Verify HLA1516-RULE-006: Federates shall define a SOM documented using the HLA OMT.,
TEST-HLA1516-RULE-006-REST,HLA1516-RULE-006,CAP-FW,FW-SOM,review + integration test,rest,planned,Verify HLA1516-RULE-006: Federates shall define a SOM documented using the HLA OMT.,
TEST-HLA1516-RULE-007-NATIVE,HLA1516-RULE-007,CAP-FW,FW-PUBSUB,review + integration test,native,planned,"Verify HLA1516-RULE-007: Federates shall support the update, reflection, sending, or receipt capabilities described in their SOMs.",
TEST-HLA1516-RULE-007-GRPC,HLA1516-RULE-007,CAP-FW,FW-PUBSUB,review + integration test,grpc,planned,"Verify HLA1516-RULE-007: Federates shall support the update, reflection, sending, or receipt capabilities described in their SOMs.",
TEST-HLA1516-RULE-007-REST,HLA1516-RULE-007,CAP-FW,FW-PUBSUB,review + integration test,rest,planned,"Verify HLA1516-RULE-007: Federates shall support the update, reflection, sending, or receipt capabilities described in their SOMs.",
TEST-HLA1516-RULE-008-NATIVE,HLA1516-RULE-008,CAP-FW,FW-OWNERSHIP-DYNAMIC,review + integration test,native,planned,Verify HLA1516-RULE-008: Federates shall support dynamic ownership transfer or acceptance as described in their SOMs.,
TEST-HLA1516-RULE-008-GRPC,HLA1516-RULE-008,CAP-FW,FW-OWNERSHIP-DYNAMIC,review + integration test,grpc,planned,Verify HLA1516-RULE-008: Federates shall support dynamic ownership transfer or acceptance as described in their SOMs.,
TEST-HLA1516-RULE-008-REST,HLA1516-RULE-008,CAP-FW,FW-OWNERSHIP-DYNAMIC,review + integration test,rest,planned,Verify HLA1516-RULE-008: Federates shall support dynamic ownership transfer or acceptance as described in their SOMs.,
TEST-HLA1516-RULE-009-NATIVE,HLA1516-RULE-009,CAP-FW,FW-UPDATE-CONDITIONS,review + integration test,native,planned,Verify HLA1516-RULE-009: Federates shall be able to vary update conditions described in their SOMs.,
TEST-HLA1516-RULE-009-GRPC,HLA1516-RULE-009,CAP-FW,FW-UPDATE-CONDITIONS,review + integration test,grpc,planned,Verify HLA1516-RULE-009: Federates shall be able to vary update conditions described in their SOMs.,
TEST-HLA1516-RULE-009-REST,HLA1516-RULE-009,CAP-FW,FW-UPDATE-CONDITIONS,review + integration test,rest,planned,Verify HLA1516-RULE-009: Federates shall be able to vary update conditions described in their SOMs.,
TEST-HLA1516-RULE-010-NATIVE,HLA1516-RULE-010,CAP-FW,FW-TIME,review + integration test,native,planned,Verify HLA1516-RULE-010: Federates shall manage local time in a manner compatible with federation time coordination.,
TEST-HLA1516-RULE-010-GRPC,HLA1516-RULE-010,CAP-FW,FW-TIME,review + integration test,grpc,planned,Verify HLA1516-RULE-010: Federates shall manage local time in a manner compatible with federation time coordination.,
TEST-HLA1516-RULE-010-REST,HLA1516-RULE-010,CAP-FW,FW-TIME,review + integration test,rest,planned,Verify HLA1516-RULE-010: Federates shall manage local time in a manner compatible with federation time coordination.,
TEST-HLA1516_1-FM-4_2-001-NATIVE,HLA1516.1-FM-4_2-001,CAP-FM,FM-CONNECT-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_2-001: RTI shall provide the Connect service.,
TEST-HLA1516_1-FM-4_2-001-GRPC,HLA1516.1-FM-4_2-001,CAP-FM,FM-CONNECT-SERVICE,unit + federate integration test,grpc,planned,Verify HLA1516.1-FM-4_2-001: RTI shall provide the Connect service.,
TEST-HLA1516_1-FM-4_2-001-REST,HLA1516.1-FM-4_2-001,CAP-FM,FM-CONNECT-SERVICE,unit + federate integration test,rest,planned,Verify HLA1516.1-FM-4_2-001: RTI shall provide the Connect service.,
TEST-HLA1516_1-FM-4_3-001-NATIVE,HLA1516.1-FM-4_3-001,CAP-FM,FM-DISCONNECT-SERVICE,unit + federate integration test,native,planned,Verify HLA1516.1-FM-4_3-001: RTI shall provide the Disconnect service.,
TEST-HLA1516_1-FM-4_3-001-GRPC,HLA1516.1-FM-4_3-001,CAP-FM,FM-DISCONNECT-SERVICE,unit + federate integration test,grpc,planned,Verify HLA1516.1-FM-4_3-001: RTI shall provide the Disconnect service.,
