edition,requirement_id,source_document,clause,page,area,service_group,service_or_check,priority,closure_wave,requirement_text,normative_level,row_kind,parent_requirement_id,canonical_status,canonical_status_reason,owner_doc,primary_test_shard,primary_command,evidence_refs,boundary_note,source_trace_strength,repo_evidence_status,tags
2025,HLA2025-FI-SVC-001,IEEE Std 1516.1-2025 Federate Interface Specification,4.2,51,Federate Interface service catalog,Federation management,Connect,P0,1-fi-service-and-binding-disposition,"Implement and expose the Connect RTI service from FI clause 4.2, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.2.3 precondition item(s) (2 extracted) and exception/failure outcomes: Unauthorized; Invalid credentials; Connection failed; Unsupported callback model; Already connected; RTI internal error. no extracted_preconditions=2; extracted_postconditions=1; extracted_exceptions=6; 2025 Java method(s): connect,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connect-and-federation-catalog-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-002,IEEE Std 1516.1-2025 Federate Interface Specification,4.3,52,Federate Interface service catalog,Federation management,Disconnect,P0,1-fi-service-and-binding-disposition,"Implement and expose the Disconnect RTI service from FI clause 4.3, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connection-lifecycle-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.3.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate is a member of a federation execution; RTI internal error. no extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=2; 2025 Java method(s): disconnect,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connection-lifecycle-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-003,IEEE Std 1516.1-2025 Federate Interface Specification,4.4,52,Federate Interface service catalog,Federation management,Connection Lost †,P0,1-fi-service-and-binding-disposition,"Implement and expose the Connection Lost callback service from FI clause 4.4, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connection-lifecycle-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.4.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate internal error. no extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=1; 2025 Java method(s): connectionLost,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connection-lifecycle-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-004,IEEE Std 1516.1-2025 Federate Interface Specification,4.5,53,Federate Interface service catalog,Federation management,Create Federation Execution,P0,1-fi-service-and-binding-disposition,"Implement and expose the Create Federation Execution RTI service from FI clause 4.5, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,"Boundary tests shall cover clause 4.5.3 precondition item(s) (3 extracted) and exception/failure outcomes: Could not create logical time implementation; FOM module inconsistent with current FDD; Invalid FOM module; Error Reading FOM; Could not locate FOM module indicated by supplied designator; MIM designator shall not be HLAstandardMIM; Invalid MIM; Error Reading MIM; Could not locate MIM indicated by supplied designator; The specified federation execution alre…. no extracted_preconditions=3; extracted_postconditions=1; extracted_exceptions=13; 2025 Java method(s): createFederationExecution, createFederationExecutionWithMIM",high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connect-and-federation-catalog-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-005,IEEE Std 1516.1-2025 Federate Interface Specification,4.6,54,Federate Interface service catalog,Federation management,Destroy Federation Execution,P1,1-fi-service-and-binding-disposition,"Implement and expose the Destroy Federation Execution RTI service from FI clause 4.6, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.6.3 precondition item(s) (4 extracted) and exception/failure outcomes: Federates are joined to the federation execution; The federation execution does not exist; Unauthorized; Not connected; RTI internal error. no extracted_preconditions=4; extracted_postconditions=1; extracted_exceptions=5; 2025 Java method(s): destroyFederationExecution,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p1; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connect-and-federation-catalog-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-006,IEEE Std 1516.1-2025 Federate Interface Specification,4.7,55,Federate Interface service catalog,Federation management,List Federation Executions,P1,1-fi-service-and-binding-disposition,"Implement and expose the List Federation Executions RTI service from FI clause 4.7, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.7.3 precondition item(s) (1 extracted) and exception/failure outcomes: Not connected; RTI internal error. no extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=2; 2025 Java method(s): listFederationExecutions,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p1; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connect-and-federation-catalog-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-007,IEEE Std 1516.1-2025 Federate Interface Specification,4.8,55,Federate Interface service catalog,Federation management,Report Federation Executions †,P1,1-fi-service-and-binding-disposition,"Implement and expose the Report Federation Executions callback service from FI clause 4.8, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-connect-and-federation-catalog-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.8.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate internal error. no extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=1; 2025 Java method(s): reportFederationExecutions,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p1; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-connect-and-federation-catalog-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-008,IEEE Std 1516.1-2025 Federate Interface Specification,4.9,56,Federate Interface service catalog,Federation management,List Federation Execution Members,P0,1-fi-service-and-binding-disposition,"Implement and expose the List Federation Execution Members RTI service from FI clause 4.9, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.9.3 precondition item(s) (1 extracted) and exception/failure outcomes: Not connected; RTI internal error. no extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=2; 2025 Java method(s): listFederationExecutionMembers,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-federate-membership-and-resign-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-009,IEEE Std 1516.1-2025 Federate Interface Specification,4.10,56,Federate Interface service catalog,Federation management,Report Federation Execution Members †,P0,1-fi-service-and-binding-disposition,"Implement and expose the Report Federation Execution Members callback service from FI clause 4.10, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,"Boundary tests shall cover clause 4.10.3 precondition item(s) (1 extracted) and exception/failure outcomes: Federate internal error. no extracted_preconditions=1; extracted_postconditions=1; extracted_exceptions=1; 2025 Java method(s): reportFederationExecutionDoesNotExist, reportFederationExecutionMembers",high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-federate-membership-and-resign-services; owner:federation-management-bounded-proof
2025,HLA2025-FI-SVC-010,IEEE Std 1516.1-2025 Federate Interface Specification,4.11,57,Federate Interface service catalog,Federation management,Join Federation Execution,P0,1-fi-service-and-binding-disposition,"Implement and expose the Join Federation Execution RTI service from FI clause 4.11, including its clause-defined arguments, preconditions, postconditions, return/callback behavior, and exception boundaries.",shall,service-or-callback,,covered,Repo evidence and executable anchors are recorded in 2025-federate-membership-and-resign-services.,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md,unit-python-2025-core,./tools/test-surface run unit-python-2025-core,docs/requirements/ieee-1516-2025/federation_management_bounded_proof.md; tests/test_rti1516_2025_python1516_2025_runtime.py; tests/transport/test_grpc_transport_2025.py; tests/scenarios/test_federation_management_backend_matrix.py; packages/hla-rti-core/src/hla/rti/factory.py,Boundary tests shall cover clause 4.11.3 precondition item(s) (7 extracted) and exception/failure outcomes: Could not create logical time implementation; Federate name already in use; The specified federation execution does not exist; FOM module inconsistent with current FDD; Invalid FOM module; Error reading FOM module; Could not locate FOM module indicated by supplied designator; Federate save in progress; Federate restore in progress; The federate is already j…. no extracted_preconditions=7; extracted_postconditions=1; extracted_exceptions=13; 2025 Java method(s): joinFederationExecution,high: FI clause + Java API + C++ API; FedPro noted where applicable,covered: repo evidence anchor and executable test recorded,area:federate-interface-service-catalog; service-group:federation-management; priority:p0; closure-wave:1-fi-service-and-binding-disposition; seed-slice:2025-federate-membership-and-resign-services; owner:federation-management-bounded-proof
